,question,answer,category,difficulty_level,tags,example_query,explanation,common_mistakes,related_questions
10,"You are working with an e-commerce database containing two tables: `orders` with columns `order_id`, `customer_id`, `order_date`, and `total_amount`","and `customers` with columns `customer_id`, `customer_name`, and `signup_date`. Write a query to find the top 5 customers who have spent the most in total on their orders, along with their names, total amounts spent, and the number of orders placed. Sort the results by total amounts spent in descending order","SELECT c.customer_name, SUM(o.total_amount) AS total_spent, COUNT(o.order_id) AS number_of_orders FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_name ORDER BY total_spent DESC LIMIT 5",unknown,SQL,Not Available,"Data Analyst, Join, Aggregate Function","SELECT c.customer_name, SUM(o.total_amount) AS total_spent, COUNT(o.order_id) AS number_of_orders FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_name ORDER BY total_spent DESC LIMIT 5",Not Available
11,"You have two tables: `customers` (customer_id, customer_name, region) and `orders` (order_id, customer_id, order_date, amount). Write a SQL query to find the total order amount for each customer in the 'West' region, and rank them by total order amount in descending order","WITH CustomerOrders AS (SELECT c.customer_id, c.customer_name, SUM(o.amount) AS total_amount FROM customers c JOIN orders o ON c.customer_id = o.customer_id WHERE c.region = 'West' GROUP BY c.customer_id, c.customer_name) SELECT customer_id, customer_name, total_amount, RANK() OVER (ORDER BY total_amount DESC) AS rank FROM CustomerOrders",SQL,intermediate,"['Join', 'Aggregate function', 'Window function']","SELECT customer_id, customer_name, total_amount, RANK() OVER (ORDER BY total_amount DESC) AS rank FROM (SELECT c.customer_id, c.customer_name, SUM(o.amount) AS total_amount FROM customers c JOIN orders o ON c.customer_id = o.customer_id WHERE c.region = 'West' GROUP BY c.customer_id, c.customer_name) AS CustomerOrders",Not Available,This query uses a Common Table Expression (CTE) to aggregate total order amounts per customer in the 'West' region and then applies the RANK() window function to assign a rank based on the total amounts in descending order,"Candidates may forget to use the GROUP BY clause correctly, leading to incorrect aggregation, or they may misuse the JOIN condition"
12,"You have two tables, 'orders' and 'customers'. The 'orders' table contains columns: 'order_id', 'customer_id', 'order_date', and 'total_amount'. The 'customers' table contains 'customer_id', 'customer_name', and 'signup_date'. Write a SQL query to find the total spending of each customer who joined after January 1, 2020, and place them in descending order of their total spending. Include only customers with total spending greater than $500","SELECT c.customer_name, SUM(o.total_amount) AS total_spending FROM customers c JOIN orders o ON c.customer_id = o.customer_id WHERE c.signup_date > '2020-01-01' GROUP BY c.customer_name HAVING SUM(o.total_amount) > 500 ORDER BY total_spending DESC",SQL,unknown,Intermediate,"['Data Analyst', 'Data Engineer', 'Join', 'Aggregate function']","SELECT c.customer_name, SUM(o.total_amount) AS total_spending FROM customers c JOIN orders o ON c.customer_id = o.customer_id WHERE c.signup_date > '2020-01-01' GROUP BY c.customer_name HAVING SUM(o.total_amount) > 500 ORDER BY total_spending DESC",Not Available,"This query joins the 'customers' and 'orders' tables on 'customer_id', filters customers who signed up after 2020-01-01, groups the results by customer name, aggregates their total spending, and then filters the results to include only those with spending greater than $500, ordering the results by total spending in descending order"
13,"You have a table called `sales` that contains the following fields: `sales_date`, `product_id`, `amount`, and `customer_id`. You also have a table called `products` with `product_id`, `product_name`, and `category_id`. Write a SQL query to find the total sales amount for each product name from the `products` table where the total sales amount is greater than $10,000, grouped by product name. Include the number of sales transactions for each product as well","SELECT p.product_name, SUM(s.amount) AS total_sales, COUNT(s.transaction_id) AS transaction_count FROM products p JOIN sales s ON p.product_id = s.product_id GROUP BY p.product_name HAVING SUM(s.amount) > 10000",SQL,unknown,Intermediate,"[""Join"",""Aggregate function"",""Group By"",""Having""]",Not Available,"This query joins the `products` table with the `sales` table using the `product_id`, sums the `amount`, and counts the number of transactions for each product. It then filters results to include only those products that have total sales greater than $10,000","Common mistakes include forgetting to group by the product name, neglecting to include the count of transactions, and using WHERE instead of HAVING for aggregate filtering"
14,"Given a sales database with two tables: `sales` (columns: `sale_id`, `product_id`, `amount`, `sale_date`) and `products` (columns: `product_id`, `product_name`, `category`), write a query to find the total sales amount for each category in the month of January 2023. Additionally, include the category name and order the results by total sales in descending order","SELECT p.category, SUM(s.amount) AS total_sales FROM sales s JOIN products p ON s.product_id = p.product_id WHERE s.sale_date BETWEEN '2023-01-01' AND '2023-01-31' GROUP BY p.category ORDER BY total_sales DESC",SQL,unknown,Intermediate,"[""Join"",""Aggregate function"",""Data Analysis""]",Not Available,"This query joins the `sales` and `products` tables on `product_id`, filters the results for the sales in January 2023, groups the data by category, sums the sales amounts, and orders the results by total sales","Candidates might forget to filter the date correctly, leading to incorrect results or might fail to include all necessary columns in the GROUP BY clause"
15,"You are given two tables: `employees` (with columns `employee_id`, `manager_id`, and `salary`) and `departments` (with columns `department_id`, `department_name`). Write a SQL query to find the department names with the highest average employee salary, displaying the department name and the average salary","WITH avg_salaries AS ( SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.department_id GROUP BY d.department_name ) SELECT department_name, average_salary FROM avg_salaries WHERE average_salary = (SELECT MAX(average_salary) FROM avg_salaries)",SQL,unknown,Intermediate,"Data Analyst, Aggregation, Join, CTE","WITH avg_salaries AS ( SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.department_id GROUP BY d.department_name ) SELECT department_name, average_salary FROM avg_salaries WHERE average_salary = (SELECT MAX(average_salary) FROM avg_salaries)",Not Available,"This SQL uses a Common Table Expression (CTE) to first calculate the average salary per department, and then it selects the department(s) with the maximum average salary from that CTE"
16,"You are given two tables: `employees` with columns `employee_id`, `name`, and `manager_id`, and `sales` with columns `sale_id`, `employee_id`, `amount`, and `sale_date`. Write a SQL query to find the total sales amount made by each manager where a manager is defined as someone who has at least one direct report (i.e., someone who is an employee's manager). Your output should include `manager_id`, `total_sales`, and `number_of_reports`. Order the results by `total_sales` in descending order","WITH ManagerSales AS (SELECT e.manager_id, SUM(s.amount) AS total_sales, COUNT(e.employee_id) AS number_of_reports FROM employees e JOIN sales s ON e.employee_id = s.employee_id WHERE e.manager_id IS NOT NULL GROUP BY e.manager_id) SELECT manager_id, total_sales, number_of_reports FROM ManagerSales WHERE number_of_reports > 0 ORDER BY total_sales DESC",SQL,unknown,Advanced,"Data Analyst, Data Engineer, Aggregate Function, Join, CTE","SELECT e.manager_id, SUM(s.amount) AS total_sales, COUNT(e.employee_id) AS number_of_reports FROM employees e JOIN sales s ON e.employee_id = s.employee_id WHERE e.manager_id IS NOT NULL GROUP BY e.manager_id",Not Available,The query uses a Common Table Expression (CTE) to first aggregate sales amounts and count direct reports for each manager and then filters out any managers without reports
17,"You have two tables: 'employees' (containing 'employee_id', 'name', and 'department_id') and 'departments' (containing 'department_id' and 'department_name'). Write a SQL query to retrieve the names of employees along with their department names, sorted alphabetically by employee name. Additionally, if an employee does not belong to any department, show their name with 'No Department' as the department name","SELECT e.name, COALESCE(d.department_name, 'No Department') AS department_name FROM employees e LEFT JOIN departments d ON e.department_id = d.department_id ORDER BY e.name",SQL,unknown,Intermediate,"[""SQL"", ""Join"", ""Left Join"", ""Aggregation""]",Not Available,"This query uses a LEFT JOIN to combine data from 'employees' and 'departments'. The COALESCE function ensures that if there is no matching department, 'No Department' is displayed. The results are then ordered by employee names","Candidates may forget to use LEFT JOIN, resulting in missing employees without departments. They might also overlook the use of COALESCE, which could lead to NULL values being displayed"
18,"Given two tables, 'orders' (with columns 'order_id', 'customer_id', 'order_date', 'total_amount') and 'customers' (with columns 'customer_id', 'customer_name', 'signup_date'), write a SQL query to find the total amount spent by each customer who signed up after January 1, 2022, and sort the results by total amount spent in descending order","WITH customer_spend AS (SELECT c.customer_id, c.customer_name, SUM(o.total_amount) AS total_spent FROM customers c JOIN orders o ON c.customer_id = o.customer_id WHERE c.signup_date > '2022-01-01' GROUP BY c.customer_id, c.customer_name) SELECT customer_id, customer_name, total_spent FROM customer_spend ORDER BY total_spent DESC",SQL,unknown,Intermediate,"Data Analyst, CTE, Aggregate function, Join","SELECT c.customer_id, c.customer_name, SUM(o.total_amount) AS total_spent FROM customers c JOIN orders o ON c.customer_id = o.customer_id WHERE c.signup_date > '2022-01-01' GROUP BY c.customer_id, c.customer_name ORDER BY total_spent DESC",Not Available,"This SQL query uses a Common Table Expression (CTE) to first calculate the total amount spent per customer who signed up after a specific date and then retrieves the customer details along with their total spend, sorting them in descending order"
19,"Given a sales database with tables `orders` (order_id, customer_id, order_date, total_amount) and `customers` (customer_id, customer_name, join_date), write a query to find the total amount spent by each customer who joined before 2022, along with the number of orders placed by those customers","SELECT c.customer_id, c.customer_name, COUNT(o.order_id) AS order_count, SUM(o.total_amount) AS total_spent FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id WHERE c.join_date < '2022-01-01' GROUP BY c.customer_id, c.customer_name",SQL,unknown,Intermediate,"[""Data Analyst"", ""Business Intelligence"", ""Aggregate function"", ""Join""]",Not Available,"This SQL query retrieves the total amount spent and order counts for customers who joined before 2022, using a LEFT JOIN to include customers with no orders and GROUP BY for aggregation","Candidates may forget to use a GROUP BY clause, leading to incorrect results. They might also use INNER JOIN instead of LEFT JOIN, missing customers without orders"
20,"You have two tables: 'employees' (columns: employee_id, name, department_id, salary) and 'departments' (columns: department_id, department_name). Write an SQL query to find the average salary of employees in each department, only including departments that have more than 2 employees","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.department_id GROUP BY d.department_name HAVING COUNT(e.employee_id) > 2",SQL,unknown,Intermediate,"Data Analyst, Join, Aggregate function","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.department_id GROUP BY d.department_name HAVING COUNT(e.employee_id) > 2",Not Available,"This query joins the 'employees' and 'departments' tables, groups the results by department name, calculates the average salary for each department, and filters to include only those departments with more than 2 employees"
21,"You are given two tables: `orders` and `customers`. The `orders` table contains columns `order_id`, `customer_id`, `order_date`, and `amount`. The `customers` table contains `customer_id`, `customer_name`, and `signup_date`. Write a query that returns the customer names along with the total amount spent by each customer and the date of their first order. Only include customers who have placed more than 5 orders","SELECT c.customer_name, SUM(o.amount) AS total_spent, MIN(o.order_date) AS first_order_date FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_name HAVING COUNT(o.order_id) > 5",SQL,unknown,Intermediate,"[""JOIN"", ""Aggregate function"", ""Group By"", ""HAVING""]",Not Available,"This query joins the `customers` and `orders` tables, groups the results by `customer_name`, and calculates the total amount spent and the date of the first order for each customer. It then filters to include only those customers who have placed more than 5 orders using the HAVING clause","Common mistakes include forgetting to include `COUNT()` in the HAVING clause to filter based on the number of orders, or using the wrong JOIN type"
22,"You have two tables: 'employees' with columns (id, name, department_id) and 'departments' with columns (id, dept_name). Write a SQL query to find the number of employees in each department, including departments with no employees, returning 'dept_name' and 'employee_count'","SELECT d.dept_name, COUNT(e.id) AS employee_count FROM departments d LEFT JOIN employees e ON d.id = e.department_id GROUP BY d.dept_name ORDER BY d.dept_name",SQL,unknown,Intermediate,"['Join', 'Aggregate Function']","SELECT d.dept_name, COUNT(e.id) AS employee_count FROM departments d LEFT JOIN employees e ON d.id = e.department_id GROUP BY d.dept_name ORDER BY d.dept_name",Not Available,This query uses a LEFT JOIN to include all departments even if they have no employees and counts employees grouped by department
23,"Given two tables, 'employees' and 'departments', write a SQL query to find the average salary of employees in each department, but exclude employees whose salaries are above the average salary of their respective department","WITH DepartmentAvg AS (SELECT d.id AS department_id, AVG(e.salary) AS avg_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.id) SELECT d.name, AVG(e.salary) AS avg_dept_salary FROM employees e JOIN departments d ON e.department_id = d.id JOIN DepartmentAvg da ON da.department_id = d.id WHERE e.salary < da.avg_salary GROUP BY d.name",SQL,unknown,Advanced,"[""Data Analyst"", ""Data Engineer"", ""Business Analyst"", ""Aggregate function"", ""Join"", ""CTE""]",Not Available,"This query first calculates the average salary for each department using a Common Table Expression (CTE). Then, it joins this CTE with the employees and departments tables to filter out salaries that are above the department's average, and finally computes the average salary of eligible employees per department",Candidates might forget to include the correct joins between the CTE and the main query or fail to apply the WHERE clause correctly to filter the salaries
24,"Consider a database with two tables: `employees` (with columns `employee_id`, `name`, and `department_id`) and `departments` (with columns `department_id` and `department_name`). Write a SQL query to find the total number of employees in each department and the percentage of employees in that department relative to the total employee count in the company","SELECT d.department_name, COUNT(e.employee_id) AS total_employees, COUNT(e.employee_id) * 100.0 / (SELECT COUNT(*) FROM employees) AS percentage FROM departments d LEFT JOIN employees e ON d.department_id = e.department_id GROUP BY d.department_name",SQL,unknown,Intermediate,"Data Analyst, Aggregate Function, Join","SELECT d.department_name, COUNT(e.employee_id) AS total_employees, COUNT(e.employee_id) * 100.0 / (SELECT COUNT(*) FROM employees) AS percentage FROM departments d LEFT JOIN employees e ON d.department_id = e.department_id GROUP BY d.department_name",Not Available,"This query performs a `LEFT JOIN` between the `departments` and `employees` tables to count the total number of employees in each department, while also calculating the percentage of employees relative to the overall employee count using a subquery"
25,"Given a sales database with tables 'Sales' (columns: SaleID, ProductID, SaleAmount, SaleDate) and 'Products' (columns: ProductID, ProductName, Category), write a SQL query to find the total sales amount per category for the year 2023, ordered by total sales in descending order","SELECT p.Category, SUM(s.SaleAmount) AS TotalSales FROM Sales s JOIN Products p ON s.ProductID = p.ProductID WHERE YEAR(s.SaleDate) = 2023 GROUP BY p.Category ORDER BY TotalSales DESC",SQL,intermediate,"Data Analyst, Aggregate function, Join","SELECT p.Category, SUM(s.SaleAmount) AS TotalSales FROM Sales s JOIN Products p ON s.ProductID = p.ProductID WHERE YEAR(s.SaleDate) = 2023 GROUP BY p.Category ORDER BY TotalSales DESC",Not Available,"This SQL query joins the Sales and Products tables on ProductID, filters for the year 2023, groups the results by category, and calculates the total sales per category, ordering the results in descending order by total sales amount","Common mistakes include forgetting to join the tables correctly, not using the correct function or syntax for filtering by year, or neglecting to specify the ordering for the results"
26,"You are given two tables: `employees` (with columns `id`, `name`, `salary`, `department_id`) and `departments` (with columns `id`, `department_name`). Write a SQL query to find the top 3 highest paid employees in each department","WITH ranked_employees AS (SELECT e.id, e.name, e.salary, d.department_name, ROW_NUMBER() OVER (PARTITION BY e.department_id ORDER BY e.salary DESC) AS rank FROM employees e JOIN departments d ON e.department_id = d.id) SELECT id, name, salary, department_name FROM ranked_employees WHERE rank <= 3",SQL,unknown,Advanced,"[""Data Analyst"", ""Business Analyst"", ""Data Engineer"", ""Window Function"", ""Join""]","WITH ranked_employees AS (SELECT e.id, e.name, e.salary, d.department_name, ROW_NUMBER() OVER (PARTITION BY e.department_id ORDER BY e.salary DESC) AS rank FROM employees e JOIN departments d ON e.department_id = d.id) SELECT id, name, salary, department_name FROM ranked_employees WHERE rank <= 3",Not Available,This SQL query uses a Common Table Expression (CTE) to first rank employees within their respective departments based on their salaries using the ROW_NUMBER window function. It then filters for the top 3 highest salaries per department
27,"You are working with two tables: `orders` and `customers`. The `orders` table has columns (`order_id`, `customer_id`, `order_date`, `amount`) and the `customers` table has columns (`customer_id`, `customer_name`, `signup_date`). Write a SQL query to find the top 5 customers who have the highest total order amounts and their signup date, ordered by the total order amount in descending order","WITH CustomerTotals AS (SELECT c.customer_id, c.customer_name, c.signup_date, SUM(o.amount) AS total_amount FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.customer_name, c.signup_date) SELECT customer_id, customer_name, signup_date, total_amount FROM CustomerTotals ORDER BY total_amount DESC LIMIT 5",SQL,unknown,Intermediate,"Data Analyst, Aggregate function, Join","SELECT c.customer_id, c.customer_name, c.signup_date, SUM(o.amount) AS total_amount FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.customer_name, c.signup_date ORDER BY total_amount DESC LIMIT 5",Not Available,"This query uses a Common Table Expression (CTE) to calculate the total order amount for each customer and then selects the top 5 customers based on the total amount, along with their signup dates"
28,"You are given two tables: `employees` (with columns `employee_id`, `name`, `salary`, `department_id`) and `departments` (with columns `department_id`, `department_name`). Write a SQL query to find the department name and the average salary of the employees in each department, but only include departments that have an average salary greater than $60,000","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.department_id GROUP BY d.department_name HAVING AVG(e.salary) > 60000",SQL,unknown,Intermediate,"[""Join"", ""Aggregate function"", ""Group By""]",Not Available,"This query joins the `employees` and `departments` tables to calculate the average salary for each department. It groups the results by department name and filters to only show departments where the average salary exceeds $60,000","Candidates may forget to include the HAVING clause or may use WHERE instead, which causes an error in filtering aggregated results"
