"id";"question";"answer";"category";"difficulty_level";"tags";"example_query";"explanation";"common_mistakes";"related_questions"
"12";"Write a SQL query to list all products that have not been sold.";"SELECT p.product_id, p.product_name FROM products p LEFT JOIN sales s ON p.product_id = s.product_id WHERE s.product_id IS NULL;";"SQL";"Advanced";"Data Analyst, Inventory Manager";"SELECT p.product_id, p.product_name FROM products p LEFT JOIN sales s ON p.product_id = s.product_id WHERE s.product_id IS NULL;";"This identifies products with no entries in the sales table.";"Not understanding LEFT JOIN behavior.";"What is data reconciliation?; How to manage inventory?"
"13";"Given a 'logs' table with 'log_id', 'user_id', and 'timestamp', how would you find the number of distinct users active in the last 7 days?";"SELECT COUNT(DISTINCT user_id) FROM logs WHERE timestamp >= NOW() - INTERVAL '7 days';";"SQL";"Intermediate";"Data Analyst, Business Analyst";"SELECT COUNT(DISTINCT user_id) FROM logs WHERE timestamp >= NOW() - INTERVAL '7 days';";"This counts active unique users based on log entries.";"Incorrect date range handling.";"What are time-based analyses?; How to analyze user engagement?"
"14";"Write a SQL query to determine the average amount spent per transaction by each customer.";"SELECT customer_id, AVG(amount) AS average_spent FROM transactions GROUP BY customer_id;";"SQL";"Intermediate";"Data Analyst, Business Analyst";"SELECT customer_id, AVG(amount) AS average_spent FROM transactions GROUP BY customer_id;";"This calculates average transaction amounts per customer.";"Not grouping correctly.";"What are aggregate functions?; How to analyze spending patterns?"
"15";"In an 'emails' table, write a query to find users who have not verified their email addresses.";"SELECT * FROM users WHERE email_verified = FALSE;";"SQL";"Easy";"Data Analyst, Marketing Analyst";"SELECT * FROM users WHERE email_verified = FALSE;";"This filters for users with unverified email addresses.";"Assuming the verification field is not properly defined.";"How to clean email lists?; What are user engagement techniques?"
"16";"Write a SQL statement to find duplicate entries in a customer database based on email.";"SELECT email, COUNT(*) AS count FROM customers GROUP BY email HAVING COUNT(*) > 1;";"SQL";"Intermediate";"Data Analyst, Data Engineer";"SELECT email, COUNT(*) AS count FROM customers GROUP BY email HAVING COUNT(*) > 1;";"This identifies duplicate customer records based on email.";"Failing to account for case sensitivity.";"What are data cleansing techniques?; How to handle duplicates?"
"17";"Assuming a 'performance' table with 'employee_id', 'score', and 'date', write a query to find the average score per employee for the last month.";"SELECT employee_id, AVG(score) AS average_score FROM performance WHERE date >= DATEADD(month, -1, GETDATE()) GROUP BY employee_id;";"SQL";"Intermediate";"HR Analyst, Data Analyst";"SELECT employee_id, AVG(score) AS average_score FROM performance WHERE date >= DATEADD(month, -1, GETDATE()) GROUP BY employee_id;";"This calculates the average score of employees for the previous month.";"Misunderstanding date handling.";"What are time series analyses?; How to use aggregate functions?"
"18";"Write a query to list all countries with more than 10 cities in a 'cities' table.";"SELECT country, COUNT(city_id) AS city_count FROM cities GROUP BY country HAVING city_count > 10;";"SQL";"Intermediate";"Data Analyst, Urban Planner";"SELECT country, COUNT(city_id) AS city_count FROM cities GROUP BY country HAVING city_count > 10;";"This identifies countries based on the number of cities.";"Not counting correctly or using the HAVING clause wrongly.";"What are aggregation functions?; How to analyze geographic data?"
"19";"Given a 'users' table, write a query to find all users registered in the last 30 days.";"SELECT * FROM users WHERE registration_date >= NOW() - INTERVAL '30 days';";"SQL";"Easy";"Data Analyst, Business Analyst";"SELECT * FROM users WHERE registration_date >= NOW() - INTERVAL '30 days';";"This filters users based on their registration date.";"Incorrectly accounting for the date range.";"What are user retention metrics?; How to perform cohort analysis?"
"20";"You have a 'subscriptions' table with 'user_id', 'plan', and 'start_date'. Write a query to find users who have not renewed their subscriptions.";"SELECT user_id, plan FROM subscriptions WHERE start_date < DATEADD(month, -1, GETDATE());";"SQL";"Intermediate";"Data Analyst, Subscription Manager";"SELECT user_id, plan FROM subscriptions WHERE start_date < DATEADD(month, -1, GETDATE());";"This identifies users whose subscriptions have not been renewed.";"Not considering multiple plans for the same user.";"What are customer lifecycle metrics?; How to analyze subscription data?"
"21";"Write a query to find how many products are out of stock from the 'inventory' table.";"SELECT COUNT(*) AS out_of_stock FROM inventory WHERE quantity = 0;";"SQL";"Easy";"Inventory Manager, Data Analyst";"SELECT COUNT(*) AS out_of_stock FROM inventory WHERE quantity = 0;";"This counts products that are out of stock.";"Failing to distinguish between various stock statuses.";"What is inventory management?; How to forecast inventory needs?"
"22";"In a table 'sales_data', how would you write a query to find the total sales for each month of the current year?";"SELECT MONTH(sale_date) AS sale_month, SUM(amount) AS total_sales FROM sales_data WHERE YEAR(sale_date) = YEAR(CURRENT_DATE) GROUP BY MONTH(sale_date);";"SQL";"Intermediate";"Data Analyst, Financial Analyst";"SELECT MONTH(sale_date) AS sale_month, SUM(amount) AS total_sales FROM sales_data WHERE YEAR(sale_date) = YEAR(CURRENT_DATE) GROUP BY MONTH(sale_date);";"This sums sales amounts by month.";"Not grouping by YEAR if the dataset spans multiple years.";"How to visualize sales trends?; What are time series analyses?"
"23";"You have a 'visits' table with 'user_id' and 'visit_date'. How would you query the unique users who visited in the last week?";"SELECT COUNT(DISTINCT user_id) AS unique_visitors FROM visits WHERE visit_date >= NOW() - INTERVAL '1 week';";"SQL";"Intermediate";"Data Analyst, Marketing Analyst";"SELECT COUNT(DISTINCT user_id) AS unique_visitors FROM visits WHERE visit_date >= NOW() - INTERVAL '1 week';";"This counts distinct users for the last week.";"Misunderstanding DISTINCT functionality.";"What are user engagement metrics?; How to measure website traffic?"
"24";"Write a query to find the total number of orders from each customer along with their IDs.";"SELECT customer_id, COUNT(order_id) AS total_orders FROM orders GROUP BY customer_id;";"SQL";"Easy";"Data Analyst, Business Analyst";"SELECT customer_id, COUNT(order_id) AS total_orders FROM orders GROUP BY customer_id;";"This aggregates orders per customer.";"Forgetting to include all columns if needed.";"What are order fulfillment metrics?; How to calculate customer lifetime value?"
"25";"You have a 'logs' table with 'user_id' and 'action_date'. Write a query to identify users who performed actions on two different days.";"SELECT user_id FROM logs GROUP BY user_id HAVING COUNT(DISTINCT DATE(action_date)) > 1;";"SQL";"Intermediate";"Data Analyst, User Researcher";"SELECT user_id FROM logs GROUP BY user_id HAVING COUNT(DISTINCT DATE(action_date)) > 1;";"This finds users who were active on more than one day.";"Forgetting to handle date functions correctly.";"What are event tracking metrics?; How to analyze user behavior?"
"26";"Assuming an 'online_courses' table with 'course_id', 'subject', and 'registration_date', write a query to find the total number of registrations per subject for last year.";"SELECT subject, COUNT(*) AS total_registrations FROM online_courses WHERE YEAR(registration_date) = YEAR(CURRENT_DATE) - 1 GROUP BY subject;";"SQL";"Intermediate";"Education Analyst, Data Analyst";"SELECT subject, COUNT(*) AS total_registrations FROM online_courses WHERE YEAR(registration_date) = YEAR(CURRENT_DATE) - 1 GROUP BY subject;";"This aggregates registrations by course subject.";"Not efficiently using COUNT with GROUP BY.";"What are enrollment metrics?; How to analyze course effectiveness?"
